timestamp,location_id,product_sku,current_stock,in_transit_in,in_transit_out,daily_sales_avg,last_24h_sales,safety_stock_units,reorder_point_units,storage_capacity_units,product_category,on_hand_units,available_for_sale_units
2025-07-13 08:00:00,Store_A1,AF-PRO-2025,95,5,0,10,12,30,40,200,Kitchen Appliances,95,90
2025-07-13 08:00:00,Store_A2,AF-PRO-2025,102,0,0,10,8,30,40,200,Kitchen Appliances,102,102
2025-07-13 08:00:00,Store_A3,AF-PRO-2025,98,0,0,10,11,30,40,200,Kitchen Appliances,98,98
2025-07-13 08:00:00,Store_A4,AF-PRO-2025,90,10,0,10,15,30,40,200,Kitchen Appliances,90,85
2025-07-13 08:00:00,Store_A5,AF-PRO-2025,105,0,0,10,9,30,40,200,Kitchen Appliances,105,105
2025-07-13 08:00:00,Store_B1,AF-PRO-2025,88,0,0,10,15,30,40,200,Kitchen Appliances,88,88
2025-07-13 08:00:00,Store_B2,AF-PRO-2025,93,0,0,10,10,30,40,200,Kitchen Appliances,93,93
2025-07-13 08:00:00,Store_B3,AF-PRO-2025,100,0,0,10,7,30,40,200,Kitchen Appliances,100,100
2025-07-13 08:00:00,Store_B4,AF-PRO-2025,97,0,0,10,13,30,40,200,Kitchen Appliances,97,97
2025-07-13 08:00:00,Store_B5,AF-PRO-2025,91,5,0,10,14,30,40,200,Kitchen Appliances,91,86
2025-07-13 08:00:00,Store_C1,AF-PRO-2025,96,0,0,10,10,30,40,200,Kitchen Appliances,96,96
2025-07-13 08:00:00,Store_C2,AF-PRO-2025,85,0,0,10,18,30,40,200,Kitchen Appliances,85,85
2025-07-13 08:00:00,Store_C3,AF-PRO-2025,25,0,0,10,25,30,40,200,Kitchen Appliances,25,25
2025-07-13 08:00:00,Store_C4,AF-PRO-2025,99,0,0,10,9,30,40,200,Kitchen Appliances,99,99
2025-07-13 08:00:00,Store_C5,AF-PRO-2025,94,0,0,10,11,30,40,200,Kitchen Appliances,94,94
2025-07-13 08:00:00,DC_East,AF-PRO-2025,480,100,20,50,60,150,200,1000,Kitchen Appliances,480,460
2025-07-13 08:00:00,DC_West,AF-PRO-2025,510,0,10,45,40,150,200,1000,Kitchen Appliances,510,500
2025-07-13 12:00:00,Store_A1,AF-PRO-2025,90,5,0,10,17,30,40,200,Kitchen Appliances,90,85
2025-07-13 12:00:00,Store_A3,AF-PRO-2025,95,0,0,10,13,30,40,200,Kitchen Appliances,95,95
2025-07-13 12:00:00,Store_B1,AF-PRO-2025,85,0,0,10,18,30,40,200,Kitchen Appliances,85,85
2025-07-13 12:00:00,Store_C3,AF-PRO-2025,15,0,0,10,10,30,40,200,Kitchen Appliances,15,15
2025-07-13 16:00:00,Store_A1,AF-PRO-2025,85,5,0,10,20,30,40,200,Kitchen Appliances,85,80
2025-07-13 16:00:00,Store_A4,AF-PRO-2025,80,10,0,10,25,30,40,200,Kitchen Appliances,80,70
2025-07-13 16:00:00,Store_C2,AF-PRO-2025,70,0,0,10,22,30,40,200,Kitchen Appliances,70,70
2025-07-14 08:00:00,Store_A1,AF-PRO-2025,80,0,0,10,20,30,40,200,Kitchen Appliances,80,80
2025-07-14 08:00:00,Store_A2,AF-PRO-2025,95,0,0,10,10,30,40,200,Kitchen Appliances,95,95
2025-07-14 08:00:00,Store_B5,AF-PRO-2025,85,5,0,10,16,30,40,200,Kitchen Appliances,85,80
2025-07-14 08:00:00,Store_C3,AF-PRO-2025,5,0,0,10,10,30,40,200,Kitchen Appliances,5,5
2025-07-14 08:00:00,DC_East,AF-PRO-2025,460,0,30,50,70,150,200,1000,Kitchen Appliances,460,430
2025-07-14 08:00:00,DC_West,AF-PRO-2025,500,0,20,45,50,150,200,1000,Kitchen Appliances,500,480
2025-07-14 12:00:00,Store_A1,AF-PRO-2025,75,0,0,10,15,30,40,200,Kitchen Appliances,75,75
2025-07-14 12:00:00,Store_C3,AF-PRO-2025,0,0,0,10,5,30,40,200,Kitchen Appliances,0,0
2025-07-13 08:00:00,Store_A1,BLENDER-ULTRA,150,10,0,15,18,50,60,300,Kitchen Appliances,150,140
2025-07-13 08:00:00,Store_B2,COFFEE-MAKER-PRO,120,0,5,12,10,40,50,250,Kitchen Appliances,120,115
2025-07-13 08:00:00,DC_East,VACUUM-ROBOT,300,50,10,30,35,100,120,800,Home Cleaning,300,290
2025-07-13 12:00:00,Store_A1,BLENDER-ULTRA,140,10,0,15,20,50,60,300,Kitchen Appliances,140,130
2025-07-13 12:00:00,Store_B2,COFFEE-MAKER-PRO,110,0,5,12,15,40,50,250,Kitchen Appliances,110,105
2025-07-14 09:00:00,Store_C1,SMART-SPEAKER,70,0,0,8,9,20,25,150,Electronics,70,70
2025-07-14 09:00:00,DC_West,FITNESS-TRACKER,400,0,20,25,28,80,100,700,Wearables,400,380
2025-07-14 15:00:00,Store_A5,AIR-PURIFIER,40,0,0,5,7,15,20,100,Home Air Quality,40,40
2025-07-15 10:00:00,Store_B3,INSTANT-POT,60,0,0,7,8,20,25,120,Kitchen Appliances,60,60
2025-07-15 11:00:00,DC_East,LAPTOP-BUDGET,200,30,10,15,18,50,60,500,Electronics,200,190
