supplier_id,product_sku,lead_time_days,cost_per_unit,max_capacity_per_day,on_time_delivery_rate,quality_score,contract_type,payment_terms_days,sustainability_score,defect_rate_percent
Supplier_A,AF-PRO-2025,7,45.00,500,0.95,8.5,Long-term,60,7.5,1.5
Supplier_B,AF-PRO-2025,3,52.00,200,0.98,9.2,Spot-purchase,30,8.0,0.8
Supplier_A,BLENDER-ULTRA,5,30.00,700,0.96,8.8,Long-term,60,7.8,1.2
Supplier_C,COFFEE-MAKER-PRO,10,25.00,300,0.92,7.9,Long-term,90,6.5,2.0
Supplier_D,VACUUM-ROBOT,8,150.00,150,0.90,8.0,Spot-purchase,45,7.0,1.8
Supplier_B,TOASTER-OVEN,4,35.00,100,0.97,9.0,Long-term,30,8.2,0.9
Supplier_A,MICROWAVE-SMART,6,90.00,400,0.94,8.7,Long-term,60,7.6,1.4
Supplier_E,AIR-PURIFIER,12,70.00,80,0.88,7.5,Spot-purchase,60,6.0,2.5
Supplier_C,WATER-FILTER,7,15.00,600,0.93,8.1,Long-term,90,6.8,1.7
Supplier_D,DRONE-CAMERA,10,250.00,50,0.85,7.0,Spot-purchase,45,6.2,3.0
Supplier_B,SMART-SPEAKER,3,40.00,250,0.99,9.5,Long-term,30,8.5,0.5
Supplier_A,FITNESS-TRACKER,5,20.00,1000,0.97,8.9,Long-term,60,7.9,1.1
Supplier_E,GAMING-HEADSET,9,60.00,120,0.89,7.8,Spot-purchase,60,6.3,2.2
Supplier_C,WIRELESS-EARBUDS,6,28.00,400,0.94,8.3,Long-term,90,6.9,1.6
Supplier_D,PORTABLE-PROJECTOR,11,180.00,70,0.87,7.2,Spot-purchase,45,6.4,2.8
Supplier_B,ELECTRIC-TOOTHBRUSH,2,25.00,300,0.98,9.1,Long-term,30,8.3,0.7
Supplier_A,SMART-WATCH,6,120.00,200,0.93,8.6,Long-term,60,7.7,1.3
Supplier_E,ROBOT-VACUUM,10,200.00,60,0.86,7.4,Spot-purchase,60,6.1,2.6
Supplier_C,INSTANT-POT,8,75.00,250,0.91,8.0,Long-term,90,6.7,1.9
Supplier_D,ACTION-CAMERA,9,100.00,90,0.89,7.6,Spot-purchase,45,6.3,2.4
Supplier_B,BLUETOOTH-SPEAKER,3,30.00,350,0.97,9.3,Long-term,30,8.4,0.6
Supplier_A,LAPTOP-BUDGET,8,400.00,100,0.92,8.4,Long-term,60,7.4,1.6
Supplier_E,TABLET-ENTRY,11,150.00,110,0.85,7.1,Spot-purchase,60,5.9,2.9
Supplier_C,SMART-TV-SMALL,7,250.00,180,0.90,7.7,Long-term,90,6.6,2.1
Supplier_D,GAMING-CONSOLE,12,350.00,40,0.82,6.5,Spot-purchase,45,5.8,3.5
Supplier_B,EXTERNAL-HARDDRIVE,4,55.00,200,0.96,8.9,Long-term,30,8.1,1.0
Supplier_A,PRINTER-INKJET,6,80.00,300,0.94,8.2,Long-term,60,7.3,1.5
Supplier_E,WEB-CAMERA,9,30.00,250,0.91,7.3,Spot-purchase,60,5.7,2.7
Supplier_C,MONITOR-PC,8,120.00,150,0.89,7.5,Long-term,90,6.5,2.0
Supplier_D,KEYBOARD-MECHANICAL,10,70.00,100,0.88,7.0,Spot-purchase,45,6.0,3.0
Supplier_A,DESKTOP-GAMING,10,800.00,50,0.90,8.0,Long-term,60,7.0,1.8
Supplier_B,SMART-LIGHTBULB,2,10.00,500,0.99,9.4,Long-term,30,8.6,0.4
Supplier_C,SECURITY-CAMERA,7,90.00,100,0.92,7.8,Long-term,90,6.7,2.3
Supplier_D,DRONE-MINI,9,120.00,80,0.86,7.1,Spot-purchase,45,6.1,2.9
Supplier_E,SMART-THERMOSTAT,11,110.00,70,0.88,7.6,Spot-purchase,60,6.4,2.5
Supplier_A,ROUTER-WIFI6,5,70.00,200,0.95,8.7,Long-term,60,7.2,1.3
Supplier_B,HEADPHONES-ANC,3,65.00,150,0.98,9.1,Long-term,30,8.3,0.7
Supplier_C,EXTERNAL-SSD,6,100.00,200,0.93,8.0,Long-term,90,6.8,1.9
Supplier_D,PROJECTOR-MINI,10,200.00,30,0.85,6.8,Spot-purchase,45,5.9,3.2
Supplier_E,GAMING-MOUSE,8,40.00,300,0.90,7.7,Spot-purchase,60,6.2,2.0
